id_choque,tipo_choque,data_choque,hora_choque,latitude_choque,longitude_choque,velocidade_choque,posicao_choque,trecho_choque,forca_maxima_choque,ACT_choque,PEG_choque,id_vagao,id_viagem,tipo_engate
7302,0,16/10/2022,18:43:35,-21.90181409,-48.0770527,12.96,230.86,T2,137.2541746,22.29375917,91.16019729,473,5,F
7303,0,16/10/2022,18:43:36,-21.9018176,-48.07705,12.96,230.86,T2,136.9920621,22.21543294,91.14315447,473,5,F
7304,0,16/10/2022,18:43:36,-21.90182293,-48.0770459,12.96,230.86,T2,136.7177584,21.90664686,91.15877705,473,5,F
7305,0,16/10/2022,18:43:36,-21.90182683,-48.0770429,12.96,230.86,T2,136.5348893,21.47434634,91.16445799,473,5,F
7306,0,16/10/2022,18:43:37,-21.90184677,-48.07702671,12.96,230.86,T2,136.236203,20.19853262,91.17155916,473,5,F
7307,0,16/10/2022,18:43:37,-21.90184933,-48.07702462,12.96,230.86,T2,136.5714631,20.3310847,91.14599494,473,5,F
7308,0,16/10/2022,18:43:37,-21.90185622,-48.0770191,12.9762,230.8595,T2,136.1447684,20.68355271,91.15025564,473,5,F
7309,0,16/10/2022,18:43:40,-21.90192218,-48.0769695,12.96,230.85,T2,136.1813423,23.37375732,91.10764861,473,5,F
7310,0,16/10/2022,18:43:40,-21.90192852,-48.0769648,12.96,230.85,T2,137.0042534,22.79233572,91.10622838,473,5,F
7311,0,16/10/2022,18:43:40,-21.90193176,-48.0769624,12.96,230.85,T2,137.449235,22.65074601,91.11617002,473,5,F
7312,0,16/10/2022,18:43:40,-21.90193743,-48.0769582,12.9924,230.84905,T2,139.0584835,22.60706407,91.12185096,473,5,F
7313,0,16/10/2022,18:43:40,-21.90194486,-48.0769527,13.0914,230.8463,T2,137.2785571,22.63718954,91.13037236,473,5,F
7314,0,16/10/2022,18:43:43,-21.90200416,-48.0769048,13.0824,230.83335,T2,136.2971594,21.8644712,91.1317926,473,5,F
7315,0,16/10/2022,18:43:44,-21.90202731,-48.07688687,12.96,230.83,T2,136.5348893,22.56790096,91.12043072,473,5,F
7316,0,16/10/2022,18:43:44,-21.90203136,-48.07688372,12.96,230.83,T2,136.7848104,22.97459482,91.11901049,473,5,F
7317,0,16/10/2022,18:43:44,-21.90204038,-48.0768767,12.9654,230.83,T2,137.2115051,23.68254341,91.11048908,473,5,F
7318,0,16/10/2022,18:43:44,-21.90204438,-48.0768735,13.023,230.83,T2,138.6013107,23.80605784,91.11759025,473,5,F
7319,0,16/10/2022,18:43:45,-21.9020555,-48.0768646,13.1832,230.83,T2,137.1017836,22.72003459,91.12185096,473,5,F
7320,0,16/10/2022,18:43:47,-21.90211908,-48.07681132,12.9888,230.82,T2,138.5098761,22.40221087,91.16445799,473,5,F
7321,0,16/10/2022,18:43:47,-21.90212324,-48.07680796,13.0464,230.82,T2,136.4617416,22.25007723,91.17439963,473,5,F
7322,0,16/10/2022,18:43:50,-21.90218839,-48.07675339,13.0482,230.81,T2,140.6494451,22.64923973,91.11474978,473,5,F
7323,0,16/10/2022,18:43:50,-21.9021995,-48.07674422,12.96,230.81,T2,138.107564,22.97911364,91.11759025,473,5,F
7324,0,16/10/2022,18:43:51,-21.9022115,-48.07673414,12.96,230.81,T2,137.0591142,23.46865256,91.1317926,473,5,F
